Liver #,Group,Age,Exposure,Diet,Treatment
1,FAPDsa,1 day,FA,PD,sa
2,FAPDsa,1 day,FA,PD,sa
3,FAPDsa,1 day,FA,PD,sa
4,FAPDsa,1 day,FA,PD,sa
5,FAPDrs,1 day,FA,PD,rs
6,FAPDrs,1 day,FA,PD,rs
7,FAPDrs,1 day,FA,PD,rs
8,FAPDrs,1 day,FA,PD,rs
9,FAWDsa,1 day,FA,WD,sa
10,FAWDsa,1 day,FA,WD,sa
11,FAWDsa,1 day,FA,WD,sa
12,FAWDsa,1 day,FA,WD,sa
13,FAWDrs,1 day,FA,WD,rs
14,FAWDrs,1 day,FA,WD,rs
15,FAWDrs,1 day,FA,WD,rs
16,FAWDrs,1 day,FA,WD,rs
17,WSPDsa,1 day,WS,PD,sa
18,WSPDsa,1 day,WS,PD,sa
19,WSPDsa,1 day,WS,PD,sa
20,WSPDsa,1 day,WS,PD,sa
21,WSPDsa,1 day,WS,PD,sa
22,WSPDrs,1 day,WS,PD,rs
23,WSPDrs,1 day,WS,PD,rs
24,WSPDrs,1 day,WS,PD,rs
25,WSPDrs,1 day,WS,PD,rs
26,WSPDrs,1 day,WS,PD,rs
27,WSWDsa,1 day,WS,WD,sa
28,WSWDsa,1 day,WS,WD,sa
29,WSWDsa,1 day,WS,WD,sa
30,WSWDsa,1 day,WS,WD,sa
31,WSWDsa,1 day,WS,WD,sa
32,WSWDrs,1 day,WS,WD,rs
33,WSWDrs,1 day,WS,WD,rs
34,WSWDrs,1 day,WS,WD,rs
35,WSWDrs,1 day,WS,WD,rs
36,WSWDrs,1 day,WS,WD,rs
37,FAPDsa,28 day,FA,PD,sa
38,FAPDsa,28 day,FA,PD,sa
39,FAPDsa,28 day,FA,PD,sa
40,FAPDsa,28 day,FA,PD,sa
41,FAPDrs,28 day,FA,PD,rs
42,FAPDrs,28 day,FA,PD,rs
43,FAPDrs,28 day,FA,PD,rs
44,FAPDrs,28 day,FA,PD,rs
45,FAWDsa,28 day,FA,WD,sa
46,FAWDsa,28 day,FA,WD,sa
47,FAWDsa,28 day,FA,WD,sa
48,FAWDsa,28 day,FA,WD,sa
49,FAWDrs,28 day,FA,WD,rs
50,FAWDrs,28 day,FA,WD,rs
51,FAWDrs,28 day,FA,WD,rs
52,FAWDrs,28 day,FA,WD,rs
53,WSSCsa,28 day,WS,SC,sa
54,WSSCsa,28 day,WS,SC,sa
55,WSSCsa,28 day,WS,SC,sa
56,WSSCsa,28 day,WS,SC,sa
57,WSSCsa,28 day,WS,SC,sa
58,WSPDrs,28 day,WS,PD,rs
59,WSPDrs,28 day,WS,PD,rs
60,WSPDrs,28 day,WS,PD,rs
61,WSPDrs,28 day,WS,PD,rs
62,WSPDrs,28 day,WS,PD,rs
63,WSWDsa,28 day,WS,WD,sa
64,WSWDsa,28 day,WS,WD,sa
65,WSWDsa,28 day,WS,WD,sa
66,WSWDsa,28 day,WS,WD,sa
67,WSWDsa,28 day,WS,WD,sa
68,WSWDrs,28 day,WS,WD,rs
69,WSWDrs,28 day,WS,WD,rs
70,WSWDrs,28 day,WS,WD,rs
71,WSWDrs,28 day,WS,WD,rs
72,WSWDrs,28 day,WS,WD,rs
